"","newcol","CLASE","NOMBRE","NUMBERO_TX","PARTICULA","PRIV"
"1","C/ DAMAS, NÚM. 4","C/","DAMAS","4",NA,0
"2","PLAZA ORENSE, S/N","PLAZA","ORENSE","S/N",NA,0
"3","C/ ALONSO CANO, NÚM. 18","C/","ALONSO CANO","18",NA,0
"4","C/ ALONSO HEREDIA, NÚM. 2","C/","ALONSO HEREDIA","2",NA,0
"5","C/ CAMARENA, NÚM. 181","C/","CAMARENA","181",NA,0
"6","C/ EMBAJADORES, NÚM. 32","C/","EMBAJADORES","32",NA,0
"7","AVDA. DE LAS NACIONES. GRECIA, S/N","AVDA."," NACIONES. GRECIA","S/N","DE LAS",0
"8","AVDA. DE LAS CIUDADES, NÚM. 31","AVDA."," CIUDADES","31","DE LAS",0
"9","AVENIDA DE LA MANCHA, NÚM. 33","AVENIDA"," MANCHA","33","DE LA",0
"10","AVENIDA DEL MAR MEDITERRÁNEO, 16","AVENIDA"," MAR MEDITERRÁNEO","16","DEL",0
"11","GLORIETA DE LOS CÁRMENES, NÚM. 2","GLORIETA"," CÁRMENES","2","DE LOS",0
"12","CALLE RÍO JARAMA, S/N","CALLE","RÍO JARAMA","S/N",NA,0
"13","CALLE HUMANES, NÚM. 27","CALLE","HUMANES","27",NA,0
"14","CALLE CORONADOS, NÚM. 7","CALLE","CORONADOS","7",NA,0
"15","CALLE MERCEDES ARTEAGA, NÚM. 18","CALLE","MERCEDES ARTEAGA","18",NA,0
"16","CALLE ARROYO DEL OLIVAR, NÚM. 106","CALLE","ARROYO  OLIVAR","106","DEL",0
"17","CALLE GOBERNADOR, NÚM. 80","CALLE","GOBERNADOR","80",NA,0
"18","CALLE PADRE BLANCO, S/N C/V FERROCARRIL","CALLE","PADRE BLANCO","S/N",NA,0
"19","CALLE SAGASTA, NÚM. 13","CALLE","SAGASTA","13",NA,0
"20","AVENIDA GUADALAJARA, NÚM. 69","AVENIDA","GUADALAJARA","69",NA,0
"21","CALLE BENIMANET, NÚM. 117 - BLOQUE 568","CALLE","BENIMANET","117",NA,0
"22","AVENIDA SAN FERMÍN, NÚM. 15","AVENIDA","SAN FERMÍN","15",NA,0
"23","CALLE JUAN DE AUSTRIA, NÚM. 1","CALLE","JUAN DE AUSTRIA","1",NA,0
"24","CALLE PILAR, NÚM. 6","CALLE","PILAR","6",NA,0
"25","CALLE CAROLINAS, NÚM. 33","CALLE","CAROLINAS","33",NA,0
"26","SECTOR DESCUBRIDORES, NÚM. 24","SECTOR","DESCUBRIDORES","24",NA,0
"27","CALLE CARMEN BRUGUERA, NÚM. 33","CALLE","CARMEN BRUGUERA","33",NA,0
"28","CALLE SIERRA PALOMERAS, NÚM. 5","CALLE","SIERRA PALOMERAS","5",NA,0
"29","CALLE MORALES ANTUÑANO, NÚM. 9","CALLE","MORALES ANTUÑANO","9",NA,0
"30","CALLE SANTA JOAQUINA VEDRUNA, S/N","CALLE","SANTA JOAQUINA VEDRUNA","S/N",NA,0
"31","CALLE FRANCISCO DEL PINO, NÚM. 32","CALLE","FRANCISCO  PINO","32","DEL",0
"32","CALLE VIRGEN DE ARÁNZAZU, NÚM. 28","CALLE","VIRGEN DE ARÁNZAZU","28",NA,0
